qubit,t1_us,t2_us,frequency_ghz
2026-06-07T05:14:13.824043+00:00,6,336.7081256973004,262.5997694245819,
2026-06-07T05:14:13.824043+00:00,7,267.0965823125056,122.5921409205699,
2026-06-07T05:14:13.824043+00:00,8,247.0304578827219,128.28042972196337,
2026-06-07T05:14:13.824043+00:00,9,214.63497829785612,310.6232356550377,
2026-06-07T05:14:13.824043+00:00,10,177.62218988731448,99.27355714009404,
2026-06-07T05:14:13.824043+00:00,11,225.72120362756638,189.25218745547292,
2026-06-07T05:14:13.824043+00:00,12,161.6096308775462,109.1103777033459,
2026-06-07T05:14:13.824043+00:00,13,219.1196298813494,207.47405910112354,
2026-06-07T05:14:13.824043+00:00,14,382.4212004452734,160.62376760010204,
2026-06-07T05:14:13.824043+00:00,15,378.24265225187736,32.70621620124251,
2026-06-07T05:14:13.824043+00:00,16,136.30930483003212,85.20276568782502,
2026-06-07T05:14:13.824043+00:00,17,134.89234483849134,9.644698060116582,
2026-06-07T05:14:13.824043+00:00,18,94.19480452211049,112.48196236568711,
2026-06-07T05:14:13.824043+00:00,19,148.07206212183584,73.99665942871005,
2026-06-07T05:14:13.824043+00:00,20,142.2830662333631,135.34994717219564,
2026-06-07T05:14:13.824043+00:00,21,312.3156298119319,223.00426306631994,
2026-06-07T05:14:13.824043+00:00,22,220.74325411139327,28.115560122546665,
2026-06-07T05:14:13.824043+00:00,23,283.4065065777635,185.79815573871406,
2026-06-07T05:14:13.824043+00:00,24,171.21574471835322,135.43415192070404,
2026-06-07T05:14:13.824043+00:00,25,143.69521766456276,67.97671893149078,
2026-06-07T05:14:13.824043+00:00,26,9.001674661357002,6.731928120403066,
2026-06-07T05:14:13.824043+00:00,27,148.41979011776067,162.32388323403777,
2026-06-07T05:14:13.824043+00:00,28,185.94193272928933,117.88288196514681,
2026-06-07T05:14:13.824043+00:00,29,56.56714793838353,62.05528969898102,
2026-06-07T05:14:13.824043+00:00,30,219.46747425637594,83.52283948435375,
2026-06-07T05:14:13.824043+00:00,31,205.18817310512534,68.23535853708225,
2026-06-07T05:14:13.824043+00:00,32,185.67106554812966,32.14733991849903,
2026-06-07T05:14:13.824043+00:00,33,140.57151565700272,148.388909047842,
2026-06-07T05:14:13.824043+00:00,34,170.38995394899118,123.84439913078955,
2026-06-07T05:14:13.824043+00:00,35,372.19387561563497,491.6426358462885,
2026-06-07T05:14:13.824043+00:00,36,100.66485561789563,67.27380997322432,
2026-06-07T05:14:13.824043+00:00,37,142.9465849702842,14.55656138666231,
2026-06-07T05:14:13.824043+00:00,38,103.4184077442233,74.83318741326487,
2026-06-07T05:14:13.824043+00:00,39,143.69449396556243,137.34958324514636,
2026-06-07T05:14:13.824043+00:00,40,169.96609328267417,86.24896307735187,
2026-06-07T05:14:13.824043+00:00,41,86.11307019036342,27.301589128272283,
2026-06-07T05:14:13.824043+00:00,42,223.5499710068258,80.44595896859046,
2026-06-07T05:14:13.824043+00:00,43,261.91254227870513,68.49067519754094,
2026-06-07T05:14:13.824043+00:00,44,243.92913569526237,216.1155550188718,
