qubit,t1_us,t2_us,readout_error,p_relax,p_dephase,p_readout,predicted_qber_linear,predicted_qber_rf,predicted_qber_nn
46,232.6190263458427,70.03545861723507,0.0216064453125,0.010656148227773984,0.06739711329433712,0.0216064453125,0.06965658526044097,0.060509039116438484,0.10846838838937142
47,158.94267299561318,110.50214407172058,0.009033203125,0.021668791348676615,0.03785033276528561,0.009033203125,0.053515017357663515,0.04244543626482916,0.10819012958457416
48,139.81802003772813,117.61781673997966,0.0782470703125,0.026424761193798052,0.034756667241041525,0.0782470703125,0.10383546144585629,0.10690514066845802,0.10690793918267788
49,182.84897041074385,182.9193550073898,0.00830078125,0.017122801348796467,0.01760557229717443,0.00830078125,0.04347805574833646,0.03800523887952725,0.1046609409003551
50,94.08780748031978,83.74096948114529,0.0145263671875,0.04563602401369429,0.05419205018604973,0.0145263671875,0.07291710304641544,0.06112607448732766,0.11598598647424588
51,117.9957654319576,122.05675565229876,0.0640869140625,0.03373479252465328,0.03300945587155825,0.0640869140625,0.09580271660673557,0.09606607217470406,0.10818023866278825
52,113.70918899305298,99.524643665939,0.0169677734375,0.035500414714032244,0.043490647517534266,0.0169677734375,0.06667761432460907,0.05285298759994984,0.11102500764722686
53,233.7904963397515,228.54727298881585,0.0118408203125,0.010537104019234696,0.01143825686348751,0.0118408203125,0.04112795774530034,0.031697493048061486,0.1021119798379117
54,257.36300733658635,268.1559567417491,0.009765625,0.008371983575308554,0.00778627903396834,0.009765625,0.03740691983378697,0.0339612418163086,0.10139047163311898
55,246.7896066752456,75.81161988434002,0.021728515625,0.00929199006390868,0.061249779848526496,0.021728515625,0.06686235351822283,0.05913987524913943,0.10736515706448146
56,220.71114880814528,95.21466593322924,0.004638671875,0.011937929861101239,0.04606069863462787,0.004638671875,0.04978053690481403,0.04211779426798348,0.10766892098247094
57,197.9858924128955,107.9592391883836,0.114013671875,0.014812013911185334,0.03905481614038547,0.114013671875,0.12670747940566146,0.11641289249820534,0.10602330854017233
58,260.5956981326545,208.36970624390744,0.0306396484375,0.00810560457095386,0.013832451114748357,0.0306396484375,0.054609026833244506,0.045771441389233294,0.10000505771187407
59,176.88979200706288,147.81402128319868,0.0225830078125,0.018141018214408538,0.02494224299932448,0.0225830078125,0.05693598862063699,0.04389276565520132,0.10438374684199667
60,186.09283432928865,22.6797896248626,0.03857421875,0.01659594811897208,0.2358646368380704,0.03857421875,0.14875912976099295,0.1551454501326382,0.1536064612958195
61,358.46682617957896,5.576595256860453,0.015625,0.0023154844901712626,1.0000000000000002,0.015625,0.4200292139770162,0.17212840973053198,0.2534343837680773
62,134.59886165420716,66.55467400129048,0.0084228515625,0.02795741875179847,0.0716168157409884,0.0084228515625,0.06844478297957936,0.06088860252204113,0.11399112758904956
63,174.10751053070933,151.91079854639102,0.0181884765625,0.018640281898134582,0.02391128899942256,0.0181884765625,0.053577225292364875,0.0428644149420774,0.10480008614880248
64,265.2677632429989,112.02797108469422,0.01171875,0.007732091023486595,0.03715385166129836,0.01171875,0.0498327316534198,0.04150747212358688,0.10490121878548997
65,302.5585689543933,64.85289005684272,0.0255126953125,0.0051643156840190385,0.07384472624598715,0.0255126953125,0.07282938844149847,0.06807531077811793,0.10820157380074544
